,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
1711,Resort Weddings,Shimla,3429025,168761,70299,221129,250437,Floral Decor,123421,Professional Singer/Dance,2771,High-Quality,196,Customized Invitations
1712,Resort Weddings,Lonavala,3225420,146051,27574,201149,58059,Mandap,134400,Professional Singer/Dance,824,Edible,778,Boxed
1713,////Destination Weddings////,////Rishikesh////xc2,5497650,576668,193591,22492,317751,Floral Decor,134749,Professional Singer/Dance,2520,High-Quality,974,Scroll Invitations
1714,////Farmhouse Weddings////,New Delhi,2280868,55291,44586,181011,533206,Luxury Package,171652,Professional Singer/Dance,3961,High-Quality,94,Traditional Paper
1715,Heritage Weddings,Neil Island,6289292,789480,697433,158559,259297,Floral Decor,494681,Celebrity Singers/Dancer,3805,High-Quality,982,Scroll Invitations
1716,Heritage Weddings,Jodhpur,10772981,564509,585760,49457,88237,Venue Decor/519830,381937,Celebrity Singers/Dancer,4001,Premium Perfumes,452,Customized Invitations
1717,////Farmhouse Weddings////,Alibaug,2824771,54439,55309,28934,214998,Floral Decor,473927,Celebrity Singers/Dancer,3005,High-Quality,513,Boxed
1718,Heritage Weddings,Neil Island,9476698,472467,624438,152985,409987,Luxury Package,315477,Celebrity Singers/Dancer,1077,Traditional Handicrafts,421,Customized Invitations
1719,////Farmhouse Weddings////,Mumbai,1925366,64492,51684,253892,450837,Luxury Package,107046,Professional Singer/Dance,3638,High-Quality,330,Customized Invitations
1720,Beach Weddings,Jaipur,5005145,159958,55302,195572,203860,Floral Decor,138181,Professional Singer/Dance,1376,Traditional Handicrafts,382,Customized Invitations
1721,////Destination Weddings////,Hyderabad,3606281,535595,331724,109002,387355,Floral Decor,194312,Professional Singer/Dance,1491,Traditional Handicrafts,914,Scroll Invitations
1722,Palace Weddings,Udaipur,5169202,751078,599458,20524,149528,Venue Decor/519830,494104,Celebrity Singers/Dancer,3679,High-Quality,360,Customized Invitations
1723,Heritage Weddings,Tirupati,6583669,668323,813900,233058,358944,Floral Decor,218425,Professional Singer/Dance,1856,Traditional Handicrafts,269,Customized Invitations
1724,Beach Weddings,Jodhpur,3478147,108147,45393,180726,590887,Luxury Package,75977,Live Band,3947,High-Quality,540,Boxed
1725,Heritage Weddings,Neil Island,11911625,375207,139959,148007,512882,Luxury Package,463957,Celebrity Singers/Dancer,1459,Traditional Handicrafts,196,Customized Invitations
1726,Beach Weddings,Hyderabad,2261308,179147,48746,167297,79954,Venue Decor/519830,493772,Celebrity Singers/Dancer,4556,Premium Perfumes,78,Traditional Paper
1727,Hotel Weddings,////Agatti Island////xc2,500928,91702,492261,178611,338897,Floral Decor,250423,Celebrity Singers/Dancer,2820,High-Quality,307,Customized Invitations
1728,Beach Weddings,////Rishikesh////xc2,4266215,147257,54310,134263,355262,Floral Decor,382679,Celebrity Singers/Dancer,4600,Premium Perfumes,967,Scroll Invitations
1729,////Temple Weddings////,Jaipur,46301,23934,7748,239980,188532,Venue Decor/519830,106968,Professional Singer/Dance,3518,High-Quality,872,Scroll Invitations
1730,Palace Weddings,////Bangaram Island////,6202098,227558,452094,42616,167620,Venue Decor/519830,331301,Celebrity Singers/Dancer,592,Edible,161,Customized Invitations
1731,////Temple Weddings////,////Agatti Island////xc2,24042,19637,8274,198755,350221,Floral Decor,70873,Live Band,3671,High-Quality,477,Customized Invitations
1732,Palace Weddings,Varanasi,6001635,649172,264609,90057,502433,Luxury Package,494439,Celebrity Singers/Dancer,1814,Traditional Handicrafts,782,Boxed
1733,Heritage Weddings,Neil Island,6183273,312818,687761,99767,141959,Venue Decor/519830,311860,Celebrity Singers/Dancer,842,Edible,896,Scroll Invitations
1734,Heritage Weddings,Nainital,11252623,952129,335387,114319,57142,Mandap,420048,Celebrity Singers/Dancer,4177,Premium Perfumes,625,Boxed
1735,Beach Weddings,Varanasi,2670932,166538,62234,104372,494855,Luxury Package,313648,Celebrity Singers/Dancer,891,Edible,594,Boxed
1736,////Temple Weddings////,Udaipur,35442,16015,10747,46210,75520,Venue Decor/519830,199851,Professional Singer/Dance,1181,Traditional Handicrafts,902,Scroll Invitations
1737,Resort Weddings,New Delhi,2618917,167413,77236,117947,70181,Venue Decor/519830,62747,Live Band,3205,High-Quality,57,Traditional Paper
1738,Hotel Weddings,////Bangaram Island////,373020,82314,101361,36620,459936,Luxury Package,394361,Celebrity Singers/Dancer,4967,Premium Perfumes,910,Scroll Invitations
1739,Hotel Weddings,New Delhi,919801,97074,597984,76598,599245,Luxury Package,351735,Celebrity Singers/Dancer,2105,High-Quality,256,Customized Invitations
1740,Hotel Weddings,Bangalore,594271,88866,458591,135611,364147,Floral Decor,496138,Celebrity Singers/Dancer,1798,Traditional Handicrafts,824,Scroll Invitations
1741,Heritage Weddings,////Agatti Island////xc2,7656945,992881,724089,206776,544826,Luxury Package,396949,Celebrity Singers/Dancer,2582,High-Quality,250,Customized Invitations
1742,Beach Weddings,Jaisalmer,3330349,103243,85330,45429,427067,Luxury Package,143962,Professional Singer/Dance,1682,Traditional Handicrafts,687,Boxed
1743,////Destination Weddings////,Alibaug,4763164,659310,328062,235984,503101,Luxury Package,225024,Professional Singer/Dance,1703,Traditional Handicrafts,382,Customized Invitations
1744,Cruise Weddings,Bangalore,4761083,187942,90768,204064,182636,Venue Decor/519830,400621,Celebrity Singers/Dancer,4721,Premium Perfumes,477,Customized Invitations
1745,////Farmhouse Weddings////,Jodhpur,2877530,72600,82272,54677,407015,Luxury Package,450843,Celebrity Singers/Dancer,4127,Premium Perfumes,847,Scroll Invitations
1746,Cruise Weddings,Goa,7314915,231840,98686,207613,476298,Luxury Package,437694,Celebrity Singers/Dancer,2678,High-Quality,669,Boxed
1747,////Temple Weddings////,Lonavala,66314,18427,12390,138825,380967,Floral Decor,139623,Professional Singer/Dance,4823,Premium Perfumes,958,Scroll Invitations
1748,////Destination Weddings////,Hyderabad,4135072,519196,149529,63104,288547,Floral Decor,226960,Professional Singer/Dance,4361,Premium Perfumes,605,Boxed
1749,Heritage Weddings,Hyderabad,11766315,402582,345214,217277,108764,Venue Decor/519830,317529,Celebrity Singers/Dancer,4451,Premium Perfumes,302,Customized Invitations
1750,////Temple Weddings////,Mumbai,94901,26828,10922,108773,156096,Venue Decor/519830,275790,Celebrity Singers/Dancer,1504,Traditional Handicrafts,482,Customized Invitations
1751,////Temple Weddings////,Jaisalmer,63190,18718,9204,126871,261679,Floral Decor,383714,Celebrity Singers/Dancer,2822,High-Quality,530,Boxed
1752,Palace Weddings,Shimla,5571181,786816,353074,223035,475366,Luxury Package,80605,Live Band,3363,High-Quality,348,Customized Invitations
1753,////Temple Weddings////,Shimla,58698,22015,5286,45128,272022,Floral Decor,223294,Professional Singer/Dance,1149,Traditional Handicrafts,636,Boxed
1754,Cruise Weddings,New Delhi,7705431,133141,112129,66598,499125,Luxury Package,324301,Celebrity Singers/Dancer,4809,Premium Perfumes,358,Customized Invitations
1755,////Temple Weddings////,Jodhpur,53903,16841,8380,240362,97562,Venue Decor/519830,217056,Professional Singer/Dance,2419,High-Quality,537,Boxed
1756,Cruise Weddings,Mumbai,7617677,229299,82239,46598,303838,Floral Decor,314380,Celebrity Singers/Dancer,1104,Traditional Handicrafts,994,Scroll Invitations
1757,////Temple Weddings////,////Mussoorie////,44867,28741,10437,39615,232848,Floral Decor,460875,Celebrity Singers/Dancer,4863,Premium Perfumes,309,Customized Invitations
1758,Hotel Weddings,Tirupati,684225,77339,373738,148124,310675,Floral Decor,53506,Live Band,4808,Premium Perfumes,722,Boxed
1759,Beach Weddings,Neil Island,4620771,99650,91021,277046,576172,Luxury Package,477976,Celebrity Singers/Dancer,4701,Premium Perfumes,474,Customized Invitations
1760,Resort Weddings,Varanasi,1794252,72166,68384,74524,544778,Luxury Package,225796,Professional Singer/Dance,2919,High-Quality,53,Traditional Paper
1761,Heritage Weddings,Tirupati,5706204,358878,702111,31034,325365,Floral Decor,370626,Celebrity Singers/Dancer,2711,High-Quality,331,Customized Invitations
1762,////Temple Weddings////,New Delhi,59840,26967,7001,83481,397689,Floral Decor,258533,Celebrity Singers/Dancer,2442,High-Quality,57,Traditional Paper
1763,////Farmhouse Weddings////,Hyderabad,3209699,85373,58446,80649,203906,Floral Decor,443092,Celebrity Singers/Dancer,3804,High-Quality,596,Boxed
1764,Hotel Weddings,////Mussoorie////,843955,77972,35940,112452,184583,Venue Decor/519830,373132,Celebrity Singers/Dancer,4852,Premium Perfumes,708,Boxed
1765,Palace Weddings,Bangalore,6999672,843527,220124,239475,509292,Luxury Package,478826,Celebrity Singers/Dancer,4743,Premium Perfumes,206,Customized Invitations
1766,Beach Weddings,////Bangaram Island////,3729435,162548,49867,105302,308644,Floral Decor,120114,Professional Singer/Dance,4207,Premium Perfumes,749,Boxed
1767,Heritage Weddings,////Bangaram Island////,10371073,369538,587581,213747,511859,Luxury Package,298437,Celebrity Singers/Dancer,3336,High-Quality,968,Scroll Invitations
1768,Beach Weddings,Shimla,4416982,92908,89347,125220,200254,Floral Decor,61860,Live Band,2615,High-Quality,675,Boxed
1769,Hotel Weddings,Jodhpur,817665,94037,54893,237918,472293,Luxury Package,398017,Celebrity Singers/Dancer,815,Edible,452,Customized Invitations
1770,Beach Weddings,////Bangaram Island////,2060139,157212,32937,21264,311507,Floral Decor,133669,Professional Singer/Dance,1929,Traditional Handicrafts,513,Boxed
1771,////Destination Weddings////,Nainital,4199063,675081,396252,205958,432242,Luxury Package,450915,Celebrity Singers/Dancer,3551,High-Quality,459,Customized Invitations
1772,////Farmhouse Weddings////,////Agatti Island////xc2,1571955,62161,47433,95663,583445,Luxury Package,469967,Celebrity Singers/Dancer,3291,High-Quality,993,Scroll Invitations
1773,Hotel Weddings,Jaipur,426532,57999,288008,110033,229102,Floral Decor,173138,Professional Singer/Dance,978,Edible,983,Scroll Invitations
1774,Hotel Weddings,Nainital,472041,64671,440636,244927,271238,Floral Decor,24179,DJ/Sangeet,1483,Traditional Handicrafts,481,Customized Invitations
1775,Beach Weddings,Jaipur,3803868,168042,98909,290826,229098,Floral Decor,482836,Celebrity Singers/Dancer,1321,Traditional Handicrafts,151,Customized Invitations
1776,////Temple Weddings////,Udaipur,49360,17782,10945,264209,113899,Venue Decor/519830,367757,Celebrity Singers/Dancer,1109,Traditional Handicrafts,825,Scroll Invitations
1777,////Temple Weddings////,Neil Island,47857,17474,5498,266943,427005,Luxury Package,493051,Celebrity Singers/Dancer,1506,Traditional Handicrafts,242,Customized Invitations
1778,////Farmhouse Weddings////,Lonavala,1728680,83488,74774,149880,378247,Floral Decor,432831,Celebrity Singers/Dancer,1008,Traditional Handicrafts,460,Customized Invitations
1779,Resort Weddings,Hyderabad,2939037,128420,28195,268780,542927,Luxury Package,173637,Professional Singer/Dance,1285,Traditional Handicrafts,850,Scroll Invitations
1780,Resort Weddings,////Agatti Island////xc2,1598760,116159,42607,165073,397526,Floral Decor,235200,Professional Singer/Dance,4866,Premium Perfumes,87,Traditional Paper
1781,////Farmhouse Weddings////,Jaipur,1887576,59861,66332,252726,165508,Venue Decor/519830,404816,Celebrity Singers/Dancer,1317,Traditional Handicrafts,206,Customized Invitations
1782,////Farmhouse Weddings////,Lonavala,3897821,73227,61468,72403,174120,Venue Decor/519830,189401,Professional Singer/Dance,972,Edible,828,Scroll Invitations
1783,Cruise Weddings,Hyderabad,4034893,131564,134270,214337,419368,Luxury Package,480732,Celebrity Singers/Dancer,4699,Premium Perfumes,486,Customized Invitations
1784,Beach Weddings,Varanasi,3998714,133968,71434,261321,446616,Luxury Package,483167,Celebrity Singers/Dancer,2327,High-Quality,724,Boxed
1785,////Temple Weddings////,Mumbai,59567,15204,10935,65219,331567,Floral Decor,417471,Celebrity Singers/Dancer,612,Edible,782,Boxed
1786,Heritage Weddings,Mumbai,8884412,905707,442051,207469,300380,Floral Decor,340951,Celebrity Singers/Dancer,3024,High-Quality,595,Boxed
1787,Resort Weddings,Hyderabad,3335603,68814,42240,27694,517780,Luxury Package,399413,Celebrity Singers/Dancer,2002,High-Quality,127,Customized Invitations
1788,Beach Weddings,Goa,4269529,135321,54946,200800,71258,Venue Decor/519830,259594,Celebrity Singers/Dancer,2890,High-Quality,158,Customized Invitations
1789,////Destination Weddings////,Bangalore,5469990,524146,319302,93833,126921,Venue Decor/519830,477952,Celebrity Singers/Dancer,3663,High-Quality,449,Customized Invitations
1790,Cruise Weddings,Jodhpur,5507563,176878,120119,154198,351740,Floral Decor,457479,Celebrity Singers/Dancer,2772,High-Quality,908,Scroll Invitations
1791,Heritage Weddings,Lonavala,5809870,942635,735063,272419,470932,Luxury Package,284394,Celebrity Singers/Dancer,1733,Traditional Handicrafts,334,Customized Invitations
1792,Beach Weddings,Shimla,3863854,91407,87265,280099,152142,Venue Decor/519830,310610,Celebrity Singers/Dancer,3057,High-Quality,703,Boxed
1793,////Temple Weddings////,Nainital,24052,17977,9294,225093,136173,Venue Decor/519830,312758,Celebrity Singers/Dancer,2558,High-Quality,87,Traditional Paper
1794,////Destination Weddings////,Neil Island,4305052,536506,196414,97823,247978,Floral Decor,470731,Celebrity Singers/Dancer,2745,High-Quality,550,Boxed
1795,Heritage Weddings,Goa,7837550,137363,475168,118765,377748,Floral Decor,420896,Celebrity Singers/Dancer,4703,Premium Perfumes,553,Boxed
1796,Cruise Weddings,////Bangaram Island////,6063963,203073,86117,28465,493691,Luxury Package,342018,Celebrity Singers/Dancer,1423,Traditional Handicrafts,370,Customized Invitations
1797,Resort Weddings,Nainital,1876662,103334,135668,271810,368930,Floral Decor,95431,Live Band,4242,Premium Perfumes,468,Customized Invitations
1798,Heritage Weddings,Hyderabad,9010166,823828,148148,276069,428858,Luxury Package,244216,Professional Singer/Dance,4810,Premium Perfumes,446,Customized Invitations
1799,////Temple Weddings////,////Rishikesh////xc2,91906,29535,11095,183998,381757,Floral Decor,458873,Celebrity Singers/Dancer,3063,High-Quality,650,Boxed
1800,Hotel Weddings,Varanasi,726781,88978,557048,55836,573809,Luxury Package,267111,Celebrity Singers/Dancer,3296,High-Quality,155,Customized Invitations
1801,Palace Weddings,Neil Island,6925257,842700,596773,285539,71692,Venue Decor/519830,308835,Celebrity Singers/Dancer,4183,Premium Perfumes,973,Scroll Invitations
1802,////Destination Weddings////,Mumbai,3400316,646927,211927,189642,427665,Luxury Package,282896,Celebrity Singers/Dancer,2852,High-Quality,346,Customized Invitations
1803,Heritage Weddings,Jaisalmer,5984127,806502,722739,22194,255394,Floral Decor,471949,Celebrity Singers/Dancer,1488,Traditional Handicrafts,141,Customized Invitations
1804,////Destination Weddings////,////Bangaram Island////,3575955,628699,132757,122192,508531,Luxury Package,318841,Celebrity Singers/Dancer,4311,Premium Perfumes,513,Boxed
1805,////Farmhouse Weddings////,Mumbai,2811553,88742,37171,175629,340239,Floral Decor,368447,Celebrity Singers/Dancer,3080,High-Quality,383,Customized Invitations
1806,Resort Weddings,Hyderabad,2629227,126935,68514,91445,503477,Luxury Package,115618,Professional Singer/Dance,3301,High-Quality,89,Traditional Paper
1807,////Destination Weddings////,Hyderabad,4945507,680835,239679,71792,317790,Floral Decor,236326,Professional Singer/Dance,4246,Premium Perfumes,879,Scroll Invitations
1808,Hotel Weddings,New Delhi,822850,93536,453182,256358,449829,Luxury Package,190318,Professional Singer/Dance,2441,High-Quality,420,Customized Invitations
1809,Heritage Weddings,Shimla,6926509,835400,213773,215584,579116,Luxury Package,78704,Live Band,721,Edible,654,Boxed
1810,////Farmhouse Weddings////,Udaipur,2844521,93885,63647,56165,241642,Floral Decor,398064,Celebrity Singers/Dancer,2190,High-Quality,815,Scroll Invitations
1811,Beach Weddings,Hyderabad,4321676,119751,95095,230502,300386,Floral Decor,177603,Professional Singer/Dance,3123,High-Quality,213,Customized Invitations
1812,Palace Weddings,////Bangaram Island////,7610659,383847,513581,95983,87307,Venue Decor/519830,81872,Live Band,3079,High-Quality,70,Traditional Paper
1813,Resort Weddings,////Mussoorie////,2936376,77409,145506,69417,306778,Floral Decor,234201,Professional Singer/Dance,4636,Premium Perfumes,512,Boxed
1814,Resort Weddings,Tirupati,2821667,180702,70989,224323,139393,Venue Decor/519830,226914,Professional Singer/Dance,4187,Premium Perfumes,647,Boxed
1815,////Temple Weddings////,Alibaug,88789,17165,10196,33300,406015,Luxury Package,457702,Celebrity Singers/Dancer,835,Edible,136,Customized Invitations
1816,Heritage Weddings,New Delhi,10821073,917074,789630,98365,448782,Luxury Package,277760,Celebrity Singers/Dancer,4813,Premium Perfumes,530,Boxed
1817,Heritage Weddings,Neil Island,10896183,526298,453656,183904,433014,Luxury Package,188637,Professional Singer/Dance,2988,High-Quality,213,Customized Invitations
1818,////Destination Weddings////,New Delhi,4214257,588905,199709,167963,367414,Floral Decor,464813,Celebrity Singers/Dancer,3939,High-Quality,101,Customized Invitations
1819,////Destination Weddings////,Jaipur,5075397,512983,185370,27383,186815,Venue Decor/519830,178808,Professional Singer/Dance,4054,Premium Perfumes,448,Customized Invitations
1820,////Farmhouse Weddings////,////Rishikesh////xc2,2681076,69901,88918,176160,92218,Venue Decor/519830,242914,Professional Singer/Dance,1931,Traditional Handicrafts,868,Scroll Invitations
1821,////Destination Weddings////,Bangalore,4071576,590164,246593,87572,504129,Luxury Package,127476,Professional Singer/Dance,4399,Premium Perfumes,897,Scroll Invitations
1822,Hotel Weddings,////Bangaram Island////,920932,85189,164495,58144,500053,Luxury Package,318975,Celebrity Singers/Dancer,3366,High-Quality,395,Customized Invitations
1823,Resort Weddings,Shimla,3386325,189535,64196,40154,373785,Floral Decor,322728,Celebrity Singers/Dancer,1052,Traditional Handicrafts,95,Traditional Paper
1824,////Temple Weddings////,////Agatti Island////xc2,66728,21758,5543,121057,218763,Floral Decor,136027,Professional Singer/Dance,3181,High-Quality,408,Customized Invitations
1825,Resort Weddings,New Delhi,3311904,115661,76428,287865,420364,Luxury Package,145587,Professional Singer/Dance,3900,High-Quality,379,Customized Invitations
1826,Beach Weddings,Neil Island,4798506,145826,29550,106084,293377,Floral Decor,159528,Professional Singer/Dance,1174,Traditional Handicrafts,848,Scroll Invitations
1827,////Destination Weddings////,Alibaug,4010158,516827,138673,89303,76391,Venue Decor/519830,43369,Live Band,4208,Premium Perfumes,947,Scroll Invitations
1828,Hotel Weddings,Shimla,342648,54759,324498,232137,359214,Floral Decor,176766,Professional Singer/Dance,2962,High-Quality,875,Scroll Invitations
1829,Beach Weddings,Lonavala,4291847,92704,47413,51867,420585,Luxury Package,226176,Professional Singer/Dance,1672,Traditional Handicrafts,86,Traditional Paper
1830,Resort Weddings,New Delhi,2642267,67263,85548,233002,78267,Venue Decor/519830,279409,Celebrity Singers/Dancer,2208,High-Quality,865,Scroll Invitations
1831,Palace Weddings,Varanasi,5797391,804970,253595,265016,522129,Luxury Package,164081,Professional Singer/Dance,1381,Traditional Handicrafts,66,Traditional Paper
1832,////Destination Weddings////,Alibaug,4978270,602331,291788,217367,406158,Luxury Package,139165,Professional Singer/Dance,1850,Traditional Handicrafts,635,Boxed
1833,////Temple Weddings////,Jaipur,96855,18044,11955,230249,85007,Venue Decor/519830,158203,Professional Singer/Dance,1750,Traditional Handicrafts,91,Traditional Paper
1834,Beach Weddings,Neil Island,4404029,148767,67682,298367,77065,Venue Decor/519830,106831,Professional Singer/Dance,1986,Traditional Handicrafts,285,Customized Invitations
1835,Hotel Weddings,Lonavala,479407,85078,129018,149659,348361,Floral Decor,63376,Live Band,2048,High-Quality,735,Boxed
1836,////Farmhouse Weddings////,New Delhi,2576372,92244,52007,27810,443123,Luxury Package,451195,Celebrity Singers/Dancer,1152,Traditional Handicrafts,268,Customized Invitations
1837,Palace Weddings,////Mussoorie////,6938159,779812,433864,243282,309420,Floral Decor,456591,Celebrity Singers/Dancer,4443,Premium Perfumes,810,Scroll Invitations
1838,////Temple Weddings////,Goa,36475,29172,6529,207475,501345,Luxury Package,480240,Celebrity Singers/Dancer,2166,High-Quality,766,Boxed
1839,Beach Weddings,////Agatti Island////xc2,1749437,174190,43686,265472,596576,Luxury Package,359394,Celebrity Singers/Dancer,1849,Traditional Handicrafts,935,Scroll Invitations
1840,////Farmhouse Weddings////,New Delhi,3087477,87042,74883,212980,209793,Floral Decor,292933,Celebrity Singers/Dancer,4770,Premium Perfumes,684,Boxed
1841,Heritage Weddings,Nainital,6751423,519393,637251,158193,97832,Venue Decor/519830,98913,Live Band,2123,High-Quality,378,Customized Invitations
1842,////Farmhouse Weddings////,Lonavala,3672506,62055,30563,160793,297409,Floral Decor,305896,Celebrity Singers/Dancer,2519,High-Quality,635,Boxed
1843,Palace Weddings,////Rishikesh////xc2,6324350,609707,189115,24942,525692,Luxury Package,397081,Celebrity Singers/Dancer,1374,Traditional Handicrafts,359,Customized Invitations
1844,////Temple Weddings////,Jodhpur,42377,21765,9275,280326,225281,Floral Decor,387170,Celebrity Singers/Dancer,544,Edible,368,Customized Invitations
1845,Resort Weddings,////Bangaram Island////,2463897,181813,46406,295009,406665,Luxury Package,415810,Celebrity Singers/Dancer,4919,Premium Perfumes,460,Customized Invitations
1846,Resort Weddings,////Bangaram Island////,1715339,58642,64235,130773,596942,Luxury Package,225631,Professional Singer/Dance,3396,High-Quality,983,Scroll Invitations
1847,Cruise Weddings,////Agatti Island////xc2,5929041,224657,130157,114991,224474,Floral Decor,32785,Live Band,2990,High-Quality,62,Traditional Paper
1848,Beach Weddings,Lonavala,4557895,87202,63003,272854,321058,Floral Decor,354175,Celebrity Singers/Dancer,1614,Traditional Handicrafts,132,Customized Invitations
1849,////Destination Weddings////,Jaipur,4642446,695232,347396,152668,117324,Venue Decor/519830,125389,Professional Singer/Dance,691,Edible,610,Boxed
1850,////Destination Weddings////,New Delhi,3419506,682767,161085,161879,118470,Venue Decor/519830,142079,Professional Singer/Dance,4343,Premium Perfumes,609,Boxed
1851,Beach Weddings,Shimla,2761242,198401,64061,298556,91450,Venue Decor/519830,364803,Celebrity Singers/Dancer,4147,Premium Perfumes,509,Boxed
1852,////Farmhouse Weddings////,New Delhi,1987104,65053,73273,295971,509547,Luxury Package,62117,Live Band,653,Edible,877,Scroll Invitations
1853,////Temple Weddings////,Alibaug,57793,18286,11719,66955,313266,Floral Decor,370058,Celebrity Singers/Dancer,2960,High-Quality,766,Boxed
1854,Hotel Weddings,New Delhi,553354,96909,583309,275319,201286,Floral Decor,218495,Professional Singer/Dance,4605,Premium Perfumes,538,Boxed
1855,////Temple Weddings////,Varanasi,58890,27797,6121,210114,400810,Luxury Package,52349,Live Band,2070,High-Quality,347,Customized Invitations
1856,Resort Weddings,Lonavala,2393279,155221,127504,199408,161699,Venue Decor/519830,212066,Professional Singer/Dance,1018,Traditional Handicrafts,256,Customized Invitations
1857,Heritage Weddings,Alibaug,9540263,624452,302841,181293,137046,Venue Decor/519830,318660,Celebrity Singers/Dancer,2133,High-Quality,826,Scroll Invitations
1858,Cruise Weddings,New Delhi,7877208,127878,94370,278737,308590,Floral Decor,268199,Celebrity Singers/Dancer,1329,Traditional Handicrafts,822,Scroll Invitations
1859,////Farmhouse Weddings////,////Mussoorie////,3277139,55514,64036,232937,405409,Luxury Package,279160,Celebrity Singers/Dancer,3496,High-Quality,515,Boxed
1860,Palace Weddings,Jaisalmer,7387231,299641,237055,285919,418900,Luxury Package,221761,Professional Singer/Dance,3430,High-Quality,715,Boxed
1861,Palace Weddings,////Mussoorie////,6359175,412287,577284,240365,52938,Mandap,497033,Celebrity Singers/Dancer,2329,High-Quality,172,Customized Invitations
1862,////Temple Weddings////,////Agatti Island////xc2,53618,19138,7563,264505,393084,Floral Decor,476802,Celebrity Singers/Dancer,4084,Premium Perfumes,787,Boxed
1863,Palace Weddings,Bangalore,5850892,866882,308184,134744,86706,Venue Decor/519830,297083,Celebrity Singers/Dancer,568,Edible,363,Customized Invitations
1864,Palace Weddings,Shimla,7949659,730125,145472,151643,323861,Floral Decor,323732,Celebrity Singers/Dancer,4938,Premium Perfumes,854,Scroll Invitations
1865,////Farmhouse Weddings////,Tirupati,2140988,59025,79998,104023,319716,Floral Decor,435908,Celebrity Singers/Dancer,4219,Premium Perfumes,194,Customized Invitations
1866,////Farmhouse Weddings////,Hyderabad,3581291,88153,54815,41361,77256,Venue Decor/519830,496281,Celebrity Singers/Dancer,620,Edible,146,Customized Invitations
1867,Cruise Weddings,Jaipur,5508031,134712,107491,60885,497278,Luxury Package,469350,Celebrity Singers/Dancer,1426,Traditional Handicrafts,565,Boxed
1868,////Farmhouse Weddings////,Tirupati,3799412,64376,77783,230727,380013,Floral Decor,44818,Live Band,2671,High-Quality,365,Customized Invitations
1869,Heritage Weddings,Goa,5744891,667469,249904,108639,113335,Venue Decor/519830,223828,Professional Singer/Dance,1868,Traditional Handicrafts,265,Customized Invitations
1870,Cruise Weddings,Nainital,4689211,106266,134769,54594,163915,Venue Decor/519830,209823,Professional Singer/Dance,3786,High-Quality,752,Boxed
1871,Beach Weddings,Hyderabad,2948667,77886,39725,58155,402311,Luxury Package,472638,Celebrity Singers/Dancer,3181,High-Quality,600,Boxed
1872,Resort Weddings,Bangalore,2949425,69610,37426,187169,317907,Floral Decor,174639,Professional Singer/Dance,3746,High-Quality,643,Boxed
1873,Hotel Weddings,////Bangaram Island////,995340,74591,105736,62256,322421,Floral Decor,113021,Professional Singer/Dance,3873,High-Quality,426,Customized Invitations
1874,Beach Weddings,Goa,2933541,162735,55779,50306,315143,Floral Decor,262417,Celebrity Singers/Dancer,4842,Premium Perfumes,635,Boxed
1875,Cruise Weddings,Jaipur,5248605,249093,91981,169955,588144,Luxury Package,36220,Live Band,2833,High-Quality,861,Scroll Invitations
1876,Cruise Weddings,////Bangaram Island////,4703748,248450,73552,274299,114890,Venue Decor/519830,59608,Live Band,2962,High-Quality,914,Scroll Invitations
1877,Hotel Weddings,Jaisalmer,374055,88725,76461,204960,286946,Floral Decor,316548,Celebrity Singers/Dancer,4327,Premium Perfumes,355,Customized Invitations
1878,Hotel Weddings,Lonavala,276955,57692,516643,107675,293465,Floral Decor,444637,Celebrity Singers/Dancer,1479,Traditional Handicrafts,231,Customized Invitations
1879,Palace Weddings,Jaipur,8239985,684197,246508,146528,304606,Floral Decor,451266,Celebrity Singers/Dancer,3702,High-Quality,700,Boxed
1880,Palace Weddings,New Delhi,5211076,392667,230340,55799,425237,Luxury Package,149599,Professional Singer/Dance,1236,Traditional Handicrafts,731,Boxed
1881,////Farmhouse Weddings////,////Rishikesh////xc2,2975304,55472,77017,120672,169496,Venue Decor/519830,498371,Celebrity Singers/Dancer,1294,Traditional Handicrafts,190,Customized Invitations
1882,////Farmhouse Weddings////,Shimla,1715195,57044,55536,213857,178048,Venue Decor/519830,443886,Celebrity Singers/Dancer,1144,Traditional Handicrafts,881,Scroll Invitations
1883,Beach Weddings,Udaipur,3112577,116212,30458,138512,183167,Venue Decor/519830,78862,Live Band,1555,Traditional Handicrafts,830,Scroll Invitations
1884,////Destination Weddings////,Bangalore,5551384,612276,251279,220052,116145,Venue Decor/519830,124163,Professional Singer/Dance,890,Edible,630,Boxed
1885,Palace Weddings,Udaipur,7880531,439026,337929,166149,261142,Floral Decor,341980,Celebrity Singers/Dancer,514,Edible,723,Boxed
1886,Hotel Weddings,////Bangaram Island////,568342,94030,136504,197695,181592,Venue Decor/519830,213691,Professional Singer/Dance,1661,Traditional Handicrafts,813,Scroll Invitations
1887,////Destination Weddings////,Varanasi,4318942,642318,153210,96314,318034,Floral Decor,415929,Celebrity Singers/Dancer,2739,High-Quality,349,Customized Invitations
1888,Cruise Weddings,Shimla,6284102,228942,141697,180408,113789,Venue Decor/519830,382092,Celebrity Singers/Dancer,3437,High-Quality,187,Customized Invitations
